ID,parasite_load,species,ST1,ST2,ST3,ST5,unclassify,Pattern,Pattern_class,sex,age,bmi,parasite_load_log,ST1_abs,ST2_abs,ST3_abs
MH106,17.36685082,mmul,2.050174689440994,5.757472826086957,92.19235248447204,0,0,Pattern_1,ST1_dom,male,8,40,4.118264264694491,35.605077986461566,99.98917167085598,1601.0908323426822
MH107,4.98972786,mmul,23.553959627329192,0,76.44604037267081,0,0,Pattern_1,ST1_dom,male,2,29.385,2.318961133050541,117.5278485657997,0,381.4449374342003
MH108,1.210816017,mmul,21.195652173913043,2.843555900621118,75.96079192546584,0,0,Pattern_1,ST1_dom,male,2,30.303,0.27597966476239844,25.664035142934782,3.44302302970691,91.9745435273583
MH109,5.681317115,mmul,98.88150232919256,0.00242624223602484,1.1160714285714286,0,0,Pattern_2,ST3_dom,male,6,32.991,2.5062254323704627,561.777171539754,0.013784251540663794,6.340755708705357
MH110,52.7480039,mmul,17.476222826086957,22.226805124223603,60.287267080745345,0,0.00970496894409937,Pattern_1,ST1_dom,male,12,31.2,5.721044594999911,921.8358697877038,1172.4196033770866,3180.032999095497
MH111,45.76241396,mmul,12.436917701863354,6.308229813664597,81.25485248447205,0,0,Pattern_1,ST1_dom,male,1,34.294,5.516091250943039,569.1433762591228,288.679824087733,3718.4181956531447
MH112,31.73616621,mmul,28.416149068322984,10.910811335403729,60.67303959627329,0,0,Pattern_1,ST1_dom,male,15,42.4,4.988055953246832,901.8196298804348,346.2673220263248,1925.5296690932405
MH113,97.26904754,mmul,87.85908385093167,7.899844720496894,4.224087732919254,0,0.01698369565217391,Pattern_2,ST3_dom,male,15,38.4,6.603908885867761,8545.969403917119,768.4103716766305,410.8729905064538
MH114,81.64241371,mmul,34.697690217391305,4.243497670807454,61.058812111801245,0,0,Pattern_1,ST1_dom,male,5,36.777,6.351246930319868,2832.803179509681,346.4493924174835,4984.988799072836
MH115,26.60230049,mmul,0,6.3300659937888195,93.66993400621118,0,0,Pattern_1,ST1_dom,male,16,22.4,4.7334791061027675,0,168.39431768830065,2491.8357313116994
MH116,0.292156628,mmul,33.489421583850934,6.594526397515528,59.7947399068323,0,0.12131211180124224,Pattern_1,ST1_dom,female,8,10.87,-1.7751860755881037,9.784156483608307,1.926634595555124,17.469429583317158
MH117,0.878649629,mmul,42.81347049689441,8.326863354037267,47.423330745341616,0,1.436335403726708,Unclass,Unclass,female,3,38.889,-0.18664010502866704,37.61803996829872,7.31639539675854,41.6684919653387
MH118,0.301718989,mmul,22.11034549689441,0.00242624223602484,77.88480201863354,0,0.00242624223602484,Pattern_1,ST1_dom,female,3,30,-1.728722598024768,6.671111089763684,7.320433545225141e-4,23.49932372352727
MH119,1002.766036,mmul,37.74747670807454,19.79571040372671,42.45196040372671,0,0.00485248447204968,Unclass,Unclass,male,11,39.2,9.969769322240776,37851.88758755823,19850.46605134899,42569.384054473994
MH120,43.0795411,mmul,23.350155279503102,0.1625582298136646,76.48728649068323,0,0,Pattern_1,ST1_dom,male,10,43.2,5.428930976703548,1005.913974054736,7.00293394240101,3295.037202002863
MH121,273.493454,mmul,80.89091614906833,12.78629658385093,6.32036102484472,0,0.00242624223602484,Pattern_2,ST3_dom,male,5,38.399,8.0953624926472,22123.136054833074,3496.9684165857916,1728.5773672117623
MH122,0.168291591,mmul,31.38586956521739,0,64.68119177018633,0,3.9329386645962736,Pattern_1,ST1_dom,female,2,47.778,-2.5709650033394245,5.281977924048912,0,10.885300670780763
MH124,1.893804341,mmul,76.4751552795031,0,23.459336180124225,0,0.06550854037267081,Pattern_2,ST3_dom,female,2,32.22222222,0.9212872860068078,144.82898104697205,0,44.42739269489762
MH125,146.3012686,mmul,4.818517080745342,5.330454192546584,89.8049301242236,0,0.04609860248447205,Pattern_1,ST1_dom,female,4,28.57142857,7.192798469128047,704.9551616838121,779.8522105837537,13138.575203708268
MH126,48.92434746,mmul,23.347729037267083,7.087053571428571,69.56279114906833,0,0.00242624223602484,Pattern_1,ST1_dom,male,7,31.36830719,5.612480703583077,1142.272407821186,346.7294713962053,3403.3141644644315
MH127,108.1057167,mmul,90.26348990683228,0,9.726805124223604,0,0.00970496894409937,Pattern_2,ST3_dom,female,4,14.375,6.756299005508445,9757.99926822132,0,1051.5232391554252
MH128,117.3761687,mmul,24.64576863354037,0,75.35423136645963,0,0,Pattern_1,ST1_dom,male,12,47.6,6.874995712461444,2892.8258968716027,0,8844.790973128396
MH129,621.9571779,mmul,99.88111413043478,0,0.1188858695652174,0,0,Pattern_2,ST3_dom,male,10,24,9.280671443188433,62121.775870073034,0,73.94191992697012
MH130,33.43562685,mmul,98.70923913043478,0.09947593167701864,1.191284937888199,0,0,Pattern_2,ST3_dom,female,13,17.85714286,5.063314260057505,3300.4052862126355,3.32604013210889,39.831358655255244
MH131,3934.207516,mmul,77.67129270186336,0,22.32870729813665,0,0,Pattern_2,ST3_dom,male,6,38.125,11.94185734151805,305574.9835251068,0,87845.76807489326
MH132,61.33736372,mmul,19.54580745341615,49.097437888198755,31.35432841614907,0,0.00242624223602484,Unclass,Unclass,male,11,45.6,5.9386942557894065,1198.8883009712733,3011.5074054685556,1923.191846257667
